Register, 1st Pronouns, 2nd Pronouns, 3rd Pronouns,,Average,1st,2nd,3rd
ID,80266.66667,107573.3333,42600,,,,,
ID,11630.76923,15557.69231,6146.153846,,,,,
ID,8878.832117,11817.51825,4671.532847,,,,,
ID,924.996352,1191.886765,475.8499927,,,,,
ID,5062.898089,6519.10828,2631.369427,,,,,
ID,32309.64467,41573.60406,16776.64975,,,,,
ID,15338.94231,19706.73077,7959.134615,,,,,
ID,23518.38235,30147.05882,12183.82353,,,,,
ID,21279.06977,27242.52492,11023.25581,,,,,
ID,6736.401674,8591.004184,3497.90795,,,,,
ID,1555.11257,1965.994371,790.3377111,,,,,
ID,11293.71817,14239.38879,5724.957555,,,,,
ID,11296.10829,14226.73435,5714.043993,,,,,
ID,60736.36364,76463.63636,30700,,,,,
ID,36939.22652,46480.66298,18679.55801,,,,,
ID,3894.887995,4848.937392,1951.177484,,,,,
ID,2580.232995,3185.644495,1320.180383,,,,,
ID,12883.89513,15876.40449,6588.014981,,,,,
ID,1810.237849,2219.75181,913.6504654,,,,,
ID,1855.042017,2272.058824,940.3886555,,,,,
ID,28760.1626,35199.18699,14597.56098,,,,,
ID,2713.961407,3297.38933,1365.115399,,,,,
ID,93168.83117,113181.8182,46857.14286,,,,,
ID,65254.54545,79227.27273,32809.09091,,,,,
ID,14878.09917,18010.33058,7506.198347,,,,,
ID,24617.74744,29754.26621,12402.73038,,,,,
ID,15531.1828,18769.89247,7843.010753,,,,,
ID,3897.161221,4692.019282,1962.506695,,,,,
ID,9112.359551,10945.06866,4589.263421,,,,,
ID,39901.63934,47961.74863,20087.43169,,,,,
ID,41737.14286,50154.28571,21017.14286,,,,,
ID,76894.73684,92452.63158,38715.78947,,,,,
ID,23720.77922,28603.8961,11951.2987,,,,,
ID,5658.179012,6849.537037,2878.08642,,,,,
ID,33990.74074,41097.22222,17305.55556,,,,,
ID,2898.797984,3480.806514,1457.153936,,,,,
ID,4322.690992,5144.811859,2147.662486,,,,,
ID,9660.305344,11535.62341,4815.521628,,,,,
ID,53104.8951,63405.59441,26475.52448,,,,,
ID,19874.67363,23681.46214,9887.72846,,,,,
ID,27344.08602,32523.29749,13573.4767,,,,,
ID,54899.28058,65294.96403,27251.79856,,,,,
ID,12835.29412,15290.7563,6369.747899,,,,,
ID,11173.21689,13248.9083,5528.384279,,,,,
ID,28591.07807,33862.45353,14133.829,,,,,
ID,7161.710037,8469.330855,3546.468401,,,,,
ID,8198.5138,9680.467091,4079.617834,,,,,
ID,1410.324172,1622.445384,697.1458774,,,,,
ID,26417.76316,30335.52632,13016.44737,,,,,
ID,6641.152263,7593.415638,3261.728395,,,,,
ID,14994.43414,17137.29128,7359.925788,,,,,
ID,9811.594203,11157.00483,4791.062802,,,,,
ID,3925.394548,4446.676231,1904.351985,,,,,
ID,10146.73243,11488.28607,4914.919852,,,,,
ID,2629.385965,2924.81203,1273.496241,,,,,
ID,83960,93380,40660,,,,,
ID,16688.49206,18573.4127,8071.428571,,,,,
ID,67862.90323,75532.25806,32806.45161,,,,,
ID,4005.671078,4481.568998,1929.584121,,,,,
ID,6191.889935,6872.556119,3015.206372,,,,,
ID,13400,14834.375,6537.5,,,,,
ID,55000,60878.20513,26833.33333,,,,,
ID,49889.53488,55215.11628,24348.83721,,,,,
ID,2149.231895,2352.353085,1047.549378,,,,,
ID,11413.97154,12485.1229,5557.567917,,,,,
ID,30564.01384,33415.22491,14892.73356,,,,,
ID,12982.40469,14197.94721,6324.046921,,,,,
ID,5058.4563,5497.729852,2502.837684,,,,,
ID,2405.808686,2619.237943,1191.580069,,,,,
ID,5154.370034,5590.238365,2541.430193,,,,,
ID,22237.16381,24097.79951,10948.65526,,,,,
ID,81321.42857,88008.92857,39982.14286,,,,,
ID,12495.89041,13506.84932,6190.410959,,,,,
ID,37261.22449,40257.14286,18555.10204,,,,,
ID,14385.22013,15511.00629,7179.245283,,,,,
ID,3775.635767,4047.169811,1908.941756,,,,,
ID,13879.69925,14848.1203,7010.526316,,,,,
ID,10756.69383,11500.58207,5459.83702,,,,,
ID,34748.1203,37172.93233,17635.33835,,,,,
ID,66042.85714,70628.57143,33507.14286,,,,,
ID,59664.51613,63870.96774,30264.51613,,,,,
ID,12986.01399,13858.74126,6574.825175,,,,,
ID,17179.2976,18316.08133,8737.523105,,,,,
ID,7893.581081,8379.222973,4010.97973,,,,,
ID,32720.27972,34702.7972,16604.8951,,,,,
ID,40008.54701,42414.52991,20303.4188,,,,,
ID,3347.764372,3525.195174,1729.950319,,,,,
ID,12925.06812,13570.84469,6690.735695,,,,,
ID,3738.011696,3902.14425,1973.489279,,,,,
ID,67577.46479,70485.91549,35669.01408,,,,,
ID,8576.648841,8959.893048,4517.825312,,,,,
ID,5001.548787,5200.309757,2629.839959,,,,,
ID,7801.441153,8095.276221,4102.481986,,,,,
ID,10390.2439,10724.2842,5459.172853,,,,,
ID,22288.63636,22990.90909,11700,,,,,
ID,22071.91011,22750.5618,11573.03371,,,,,
ID,18073.3945,18596.33028,9456.880734,,,,,
ID,12756.12903,13094.19355,6665.806452,,,,,
ID,24129.26829,24756.09756,12602.43902,,,,,
ID,5509.65251,5606.177606,2863.761721,,,,,
ID,17852.04991,18135.47237,9269.16221,,,,,
ID,53598.93048,54406.41711,27828.87701,,,,,
ID,58308.13953,59168.60465,30296.51163,,,,,
ID,90387.38739,91711.71171,46963.96396,,,,,
ID,18422.01835,18744.95413,9566.972477,,,,,
ID,7576.807229,7695.03012,3927.710843,,,,,
ID,8103.614458,8210.441767,4196.787149,,,,,
ID,30134.32836,30546.26866,15597.01493,,,,,
ID,2910.49471,2945.381756,1501.286817,,,,,
ID,16053.54331,16264.56693,8283.464567,,,,,
ID,13978.14208,14121.5847,7199.453552,,,,,
ID,3960.596787,3994.644223,2023.718439,,,,,
ID,2789.066667,2799.2,1415.466667,,,,,
ID,3148.535565,3170.053796,1596.533174,,,,,
ID,72219.17808,72705.47945,36602.73973,,,,,
ID,2358.38537,2377.118644,1223.684211,,,,,
ID,3343.740244,3344.989073,1728.067437,,,,,
ID,11604.09924,11583.60302,5971.952535,,,,,
ID,50990.52133,50900.47393,26241.70616,,,,,
ID,58505.43478,58380.43478,30114.13043,,,,,
ID,4815.096025,4805.716838,2484.591335,,,,,
IN,34501.59744,34386.58147,17776.35783,,,,,
IN,2619.186047,2607.55814,1353.197674,,,,,
IN,3241.100808,3221.058929,1693.987436,,,,,
IN,10835,10768,5670,,,,,
